State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Max _Team,Min_Temp,Avg_temp,Rainfall,Humidity,Soil
Odisha,ANUGUL,2012,Winter     ,Groundnut,154,234.4,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Winter     ,Horse-gram,2927,992.3,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Winter     ,Maize,9,14.7,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Winter     ,Moong(Green Gram),654,168.1,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Winter     ,Potato,446,4530,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Winter     ,Rapeseed &Mustard,548,81.1,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Winter     ,Rice,69000,152000,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Winter     ,Sesamum,1352,266.3,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Winter     ,Sugarcane,75,4166.8,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Winter     ,Urad,1182,318,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,BALANGIR,2008,Autumn     ,Groundnut,4438,3976.4,31.58333333,21.58333333,26.58333333,1641,71.43333333,BLACK SOIL &RED SOIL
Odisha,BALANGIR,2008,Autumn     ,Maize,945,663.1,31.58333333,21.58333333,26.58333333,1641,71.43333333,BLACK SOIL &RED SOIL
Odisha,BALANGIR,2008,Autumn     ,Moong(Green Gram),5089,921.1,31.58333333,21.58333333,26.58333333,1641,71.43333333,BLACK SOIL &RED SOIL
Odisha,BALANGIR,2008,Autumn     ,Ragi,1347,544.2,31.58333333,21.58333333,26.58333333,1641,71.43333333,BLACK SOIL &RED SOIL
Odisha,BALANGIR,2008,Autumn     ,Rice,76000,80000,31.58333333,21.58333333,26.58333333,1641,71.43333333,BLACK SOIL &RED SOIL
Odisha,BALANGIR,2008,Autumn     ,Sesamum,2080,299.5,31.58333333,21.58333333,26.58333333,1641,71.43333333,BLACK SOIL &RED SOIL
Odisha,BALANGIR,2008,Autumn     ,Urad,5603,1075.8,31.58333333,21.58333333,26.58333333,1641,71.43333333,BLACK SOIL &RED SOIL
Odisha,BALANGIR,2008,Summer     ,Groundnut,692,858.8,31.58333333,21.58333333,26.58333333,1641,71.43333333,BLACK SOIL &RED SOIL
Odisha,BALANGIR,2008,Summer     ,Maize,2,1.2,31.58333333,21.58333333,26.58333333,1641,71.43333333,BLACK SOIL &RED SOIL
Odisha,BALANGIR,2008,Summer     ,Moong(Green Gram),3727,980.2,31.58333333,21.58333333,26.58333333,1641,71.43333333,BLACK SOIL &RED SOIL
Odisha,BALANGIR,2008,Summer     ,Rice,4000,8000,31.58333333,21.58333333,26.58333333,1641,71.43333333,BLACK SOIL &RED SOIL
Odisha,BALANGIR,2008,Summer     ,Sesamum,55,14.7,31.58333333,21.58333333,26.58333333,1641,71.43333333,BLACK SOIL &RED SOIL
